"x";"y";"mark"
59.2;10.32;1
38;7.48;1
104.11;0.54;1
50.03;0.67;1
57.65;1.2;1
53.57;11.84;1
22.7;4.28;1
49.85;6.32;1
47.8;24.35;1
60.66;33.25;1
20.02;8.03;1
26.74;3.91;1
65.62;22.37;1
99.62;2.76;1
53;5.23;1
53.27;30.4;1
48.75;33.52;1
62.47;52.21;1
32.71;50.24;1
97.11;55.49;1
19.69;6.57;1
58.15;12.69;1
41.28;78.32;1
73.89;76.27;1
74.7;25.06;1
98.93;52.03;1
73.07;27.56;1
16.23;77.96;1
8.15;86.97;1
75.68;72.32;1
30.9;48.34;1
84.53;72.43;1
83.52;20.74;1
42.7;48.27;1
79.25;69.97;1
46.62;7.39;1
72.01;5.05;1
80.39;14.26;1
83.99;68.72;1
12.33;84.56;1
32.32;46.78;1
69.61;7.18;1
37.68;55.84;1
79.81;18.83;1
24.49;40.98;1
66.78;10.93;1
81.94;11.51;1
80.64;71.35;1
73.06;23.44;1
101.96;48.36;1
30.31;50.75;1
95.91;48.36;1
36.2;50.15;1
43.48;55.11;1
25.55;48;1
66.63;76.21;1
83.66;75.66;1
34.85;52.54;1
39.73;53.33;1
55.9;49.75;1
26.55;52.25;1
77.04;18.54;1
78.67;65.28;1
75.73;22.72;1
78.09;23.55;1
53.58;47.29;1
98.46;46.07;1
87.3;66.84;1
60.6;86.3;1
78.22;12.58;1
42.05;1.67;1
43.63;40.17;1
71.53;86.36;1
23.8;41.42;1
64.15;23.94;1
79.72;78.43;1
88.56;75;1
76.84;28.74;1
42.57;18.63;1
52.49;19.56;1
24.62;56.31;1
62.16;54.86;1
80.38;20.31;1
30.89;59.55;1
39.34;50.76;1
75.71;19.89;1
44.55;55.64;1
70.17;87.09;1
100.28;52.6;1
99.03;17.96;1
41.33;7.84;1
35.86;58.48;1
67.37;85.91;1
23.11;79.9;1
13.92;48.58;1
82.86;78.94;1
94.3;54.45;1
71.7;14.15;1
95.77;56.95;1
25.31;62.04;1
83.38;11.74;1
33.37;59.57;2
103.28;30.11;2
103.22;51.43;2
103.18;29.66;2
101;27.48;2
99.26;17.99;2
97.61;54.53;2
97.53;54.99;2
96.52;53.91;2
96.18;53.39;2
92.92;41.84;2
92.44;55.52;2
85.59;20.3;2
84.03;73;2
83.81;75.55;2
80.11;16.86;2
77.22;54.42;2
75.52;79.95;2
75.08;13.17;2
75.04;79.37;2
74.71;79.79;2
72.25;24.49;2
72.09;26.65;2
71.73;32.16;2
71.41;13.42;2
68.52;7.27;2
68.07;10.55;2
67.42;9.79;2
67.33;10.04;2
64.86;77.42;2
59.09;83.99;2
57.35;13.75;2
55.63;32.18;2
54.72;17.15;2
54.29;27.25;2
53.54;23.65;2
52.56;4.76;2
52.02;19.78;2
49.84;17.5;2
49.6;5.34;2
49.47;30.81;2
49.39;5.56;2
49.24;2.45;2
46.07;8.24;2
45.57;17.93;2
44.45;79.34;2
43.68;13.58;2
43.65;28.73;2
43.59;13.5;2
43.2;2.32;2
43.04;39.98;2
42.68;0.94;2
42.23;2.25;2
41.09;29.67;2
41.01;30.33;2
40.51;58.31;2
39.4;20.6;2
34.68;50.37;2
34.42;50.05;2
30.48;51.78;2
24.74;41.18;2
23.47;47.32;2
23.44;47.04;2
20.06;62.86;2
15.61;31.23;2
14.67;34.75;2
2.03;77.15;2
1.92;83.7;2
74.39;35.72;2
53.52;27.87;2
55.5;32.07;2
69.7;75.64;2
22.74;22.08;2
42.43;48.47;2
51.1;11.13;2
40.55;20.97;2
42.62;48.74;2
43.46;24.62;2
80.32;37.04;2
80;37.01;2
58.53;4.88;2
57.92;5.55;2
55.12;7.31;2
41.12;12.45;2
72.97;13.45;2
72.12;6.5;2
44.99;23.25;2
42.68;11.82;2
41.92;12.63;2
76.11;19.85;2
68.77;11.8;2
50.29;2.16;2
25.22;32.5;2
13.83;24.68;2
78.19;15.76;2
77.66;14.52;2
72.1;20.57;2
66.62;11.63;2
53.76;9.05;2
53.32;15.5;2
50.11;2.19;2
49.12;37.75;2
47.37;7.2;2
42.58;13.52;2
31.06;51.58;2
75.86;13.4;2
71.11;18.02;2
66.81;16.46;2
55.15;7.82;2
54.63;3.47;2
52.78;7.62;2
49.06;3.37;2
84.26;12.01;2
72.98;6.23;2
63.03;8.12;2
57.39;4.43;2
41.69;20.7;2
31.43;42.11;2
29.01;4.67;2
90.98;8.89;2
82.07;8.14;2
64.99;13;2
64.09;6.96;2
50.72;7.04;2
40.1;60.63;2
64.3;12.23;2
54.89;7.48;2
53.12;4.15;2
48.88;6.39;2
44;18.64;2
41.89;7.84;2
101.14;17.64;2
72.91;17.07;2
53.59;8.82;2
53.52;9.62;2
50.82;4.93;2
44.29;7.24;2
82.05;16.21;2
68.48;15.85;2
67.65;9.83;2
65.42;13.02;2
64.45;34.34;2
52.77;22.82;2
52.04;5.42;2
28.34;3.03;2
70.02;16.85;2
42.43;23.26;2
72.12;16.52;2
60.35;2.26;2
45.19;19.24;2
55.53;29.15;2
33.54;14.83;2
55.5;16.91;2
64.44;5.29;2
22.67;49.27;2
