"x";"y";"mark"
69.85;43.86;1
10.24;60.08;1
50.42;25.54;1
40.15;1.03;1
40.67;15.71;1
54.21;0.38;1
41.82;46.34;1
59.8;27.95;1
75.67;69.23;1
48.59;14.07;1
43.05;5.57;1
34.82;33.92;1
35.37;25.37;1
53.38;13.37;1
100.09;73.44;1
27.06;50.5;1
78.21;22.25;1
63.68;47.53;1
35.49;44.9;1
36.04;16.98;1
42.53;51.65;1
61.3;15.72;1
57.87;72.03;1
8.61;29.6;1
27.79;27.63;1
28;19.54;1
81.71;5.06;1
58.12;35.38;1
10.59;40.86;1
70.93;20.77;1
64.7;31.1;1
58.04;23.78;1
96.64;85.34;1
39.69;38.45;1
5.78;33.91;1
25.97;10.51;1
43.43;10.65;1
20.95;28.13;1
16.24;34.64;1
76.13;17.16;1
17.8;67.83;1
70.67;3.45;1
14.34;24.21;1
14.59;13.31;1
14.52;65.21;1
74.18;78.19;1
99.45;35.27;1
71.1;29;1
10.73;23.92;1
69.06;27.63;1
1.6;41.84;1
84.47;60.61;1
82.62;53.87;1
17.72;47.65;1
5.92;8.18;1
32.53;5.18;1
65.72;26.15;1
47.44;69.16;1
20.41;74.81;1
6.75;47.21;1
81.89;34.46;1
88.4;3.1;1
49.58;11.66;1
11.46;52.54;1
74.29;11.61;1
82.44;19.64;1
47.84;82.74;1
17.69;54.64;1
48.79;63.57;1
68.48;77.14;1
55.48;37.75;1
55.49;47.71;1
25.72;67.36;1
2.75;74.97;1
88.26;44.65;1
8.35;79.49;1
45.4;86.06;1
85.94;73.04;1
71.21;58.18;1
70;46.06;1
51.49;52.17;1
38.62;74.05;1
91.35;11.6;1
68.63;57.19;1
80.15;58.36;1
55;59.05;1
68.47;13.61;1
46.1;27.9;1
85.24;59.02;1
43.14;78.34;1
31.12;75.97;1
29.03;68.32;1
71.44;81.29;1
26.88;38.62;1
65.88;47.34;1
88.66;5.66;1
22.53;34.31;1
52.95;87.18;1
95.26;26.07;1
19.12;79.9;1
103.33;58.42;1
85.23;64.97;1
102.88;83.5;1
20.87;38.01;1
14.94;1.82;1
96.44;10.63;1
50.53;34.93;1
92.18;43.03;1
59.57;85.29;1
32;64.51;1
21.09;8.01;1
9.24;36.48;1
96.57;21.49;1
1.44;22.09;1
38.43;67.67;1
51.33;40.19;1
8.65;74.08;1
79.52;24.98;1
14.14;51.34;1
34.55;22.59;1
35.57;8.16;1
89.07;44.58;1
103.66;50.68;1
98.34;47.51;1
29.32;57.09;1
63.35;63.53;1
12.37;5.95;1
83.85;64.28;1
90.48;60.81;1
86.4;62.8;1
80.15;73.54;1
95.47;40.29;1
44.49;75.23;1
92.47;51.29;1
97;59.69;1
74.16;73.94;1
41.43;66.41;1
0.82;60.21;1
58.18;59.93;1
58.25;53.87;1
6.42;3.11;1
3.63;69.65;1
58.05;5.05;1
17.43;5.52;1
89.7;13.78;1
44.34;41.12;1
5.46;36.53;1
91.41;11.86;1
2.52;79.29;1
5.04;74.14;1
24.22;85.22;1
87;25.35;1
92.8;8.07;1
49.73;70.6;1
50.34;47.65;1
18.7;18.78;1
68.39;63.35;1
98.44;25.55;1
26.59;62.17;1
35.09;75.92;1
53.06;60.79;1
10.94;4.32;1
2.06;56.92;1
15.05;87.52;1
88.12;13.71;1
83.97;85.71;1
92.51;19.32;1
68.37;75.2;1
95.47;68.55;1
2.79;7.89;1
62.37;5.41;1
6.5;16.16;1
6.06;70.99;1
23.5;56.58;1
31.53;86.99;1
82.62;45.33;1
13.42;81.49;1
88.68;35.76;1
99.42;6.12;1
55.42;86.41;1
92.77;45.28;1
4.07;63.48;1
101.5;14.15;1
72.61;2.15;1
100.58;14.42;1
96.68;57.09;1
54.38;33.36;1
14.82;80.02;1
53.78;45.76;1
32.16;30.55;1
52.06;77.91;1
81.02;48.83;1
75.65;47.5;1
16.23;53.9;1
93.66;23.16;1
25.52;40.45;1
83.71;22.64;1
28.15;82.03;1
90.57;79.7;1
62.32;83.71;1
99.45;76.58;1
93.13;24.56;1
88.96;81.63;1
51.82;43.27;1
55.97;67.11;1
54.5;64.61;1
23.99;45.82;1
94.73;13.72;1
25.25;77.23;1
49.69;41.13;1
17.1;86.83;1
17.28;81.72;1
38.77;62.59;1
57.71;25.73;1
64.01;82;1
10.23;41.72;1
53.31;71.58;1
5.53;54.51;1
78.9;46.33;1
93.35;0.31;1
86.19;17.11;1
34.49;40.86;1
31.2;5.23;1
16.98;69.35;1
9.42;55.87;1
92.38;27.73;1
3.65;26.13;1
30.96;40.08;1
66.44;8.65;1
53.93;74.79;1
40.49;69.7;1
57.19;43.84;1
13.39;32.26;1
89.36;25.58;1
102.55;18.44;1
97.21;2.67;1
22.69;56;1
100.32;78.89;1
63.97;52.85;1
102.96;10.25;1
10.53;49.67;1
101.34;42.81;1
95.54;5.61;1
99.4;53.59;1
92.1;70.56;1
48.82;56.33;1
100.2;41.48;1
58.37;78.48;1
78.56;81.52;1
5.94;22.98;1
81.33;36.68;1
89.58;19.87;1
22.56;14.52;1
30.92;72.33;1
34.17;72.96;1
19.57;62.4;1
101.42;80.71;1
42.58;58.15;1
34.52;64.05;1
98.96;41.8;1
58.4;78.47;1
56.18;76.54;1
53.52;80.15;1
73.33;52;1
98.29;40.1;1
32.09;48.92;1
3.11;12.09;1
25.69;47.24;1
99.98;12.18;1
12.09;78.44;1
38.75;72.83;1
99.91;36.16;1
1.79;26.45;1
14.14;48.07;1
37.01;78.48;1
21.8;77.64;1
82.16;58.62;1
43.86;43.72;1
43.27;68.77;1
76.01;44.7;1
64.88;35.77;1
55.43;53;1
35.73;80.73;1
84.37;16.16;1
7.37;65.01;1
15.5;64.68;1
96.19;23.17;1
31.03;57.65;1
28.86;84.97;1
90.37;25.7;1
100.62;22.24;1
35.44;68.1;1
100.8;46.34;1
23.18;39.97;1
93.67;39.87;1
44.54;78.63;1
0.44;73.64;1
100.09;69.35;1
53.59;73.96;1
61.49;73.51;1
55.54;76.14;1
44.87;80.21;1
51.47;85.03;1
77.1;50.33;1
13.93;30.02;1
32.07;58.96;1
99.25;29.96;1
60.97;77.02;1
24;67.48;1
17.01;69.32;1
94.84;46.55;1
80.7;5.84;1
68.64;22.31;1
69.83;1.15;1
7.24;46.53;1
45.2;49.42;1
77.6;6.89;1
50.89;81.35;1
37;56.96;1
37.94;41.35;1
20.2;14.52;1
88.34;80;1
37.47;64.65;1
71.89;69.02;1
28.84;23.36;1
92.07;4.69;1
99.96;65.23;1
94.21;76.48;1
90.2;62.47;1
64.41;39.07;1
15.13;72.26;1
33.38;83.27;1
13.37;74.62;1
3.19;44.73;1
70.81;20.59;1
85.23;75.36;1
33.06;68.8;1
26.19;63.41;1
79.58;79.93;1
65.01;82.62;1
9.95;66.48;1
0.03;17.72;1
54.98;57.36;1
94.03;19.18;1
79.87;35.67;1
44.74;82.97;1
42.89;72.52;1
93.99;45.91;1
98.09;45.25;1
28.18;66.11;1
64.59;78.23;1
59.78;60.09;1
69.6;67.06;1
102.88;80.99;1
48.53;58.54;1
62.05;11.64;1
59.2;10.32;2
38;7.48;2
50.03;0.67;2
57.65;1.2;2
53.57;11.84;2
22.7;4.28;2
49.85;6.32;2
47.8;24.35;2
60.66;33.25;2
20.02;8.03;2
26.74;3.91;2
65.62;22.37;2
99.62;2.76;2
53;5.23;2
53.27;30.4;2
48.75;33.52;2
62.47;52.21;2
32.71;50.24;2
97.11;55.49;2
19.69;6.57;2
58.15;12.69;2
41.28;78.32;2
73.89;76.27;2
74.7;25.06;2
98.93;52.03;2
73.07;27.56;2
16.23;77.96;2
8.15;86.97;2
75.68;72.32;2
30.9;48.34;2
84.53;72.43;2
83.52;20.74;2
42.7;48.27;2
79.25;69.97;2
46.62;7.39;2
72.01;5.05;2
80.39;14.26;2
83.99;68.72;2
12.33;84.56;2
32.32;46.78;2
69.61;7.18;2
37.68;55.84;2
79.81;18.83;2
24.49;40.98;2
66.78;10.93;2
81.94;11.51;2
80.64;71.35;2
73.06;23.44;2
101.96;48.36;2
30.31;50.75;2
95.91;48.36;2
36.2;50.15;2
43.48;55.11;2
25.55;48;2
66.63;76.21;2
83.66;75.66;2
34.85;52.54;2
39.73;53.33;2
55.9;49.75;2
26.55;52.25;2
77.04;18.54;2
78.67;65.28;2
75.73;22.72;2
78.09;23.55;2
53.58;47.29;2
98.46;46.07;2
87.3;66.84;2
60.6;86.3;2
78.22;12.58;2
42.05;1.67;2
43.63;40.17;2
71.53;86.36;2
23.8;41.42;2
64.15;23.94;2
79.72;78.43;2
88.56;75;2
76.84;28.74;2
42.57;18.63;2
52.49;19.56;2
24.62;56.31;2
62.16;54.86;2
80.38;20.31;2
30.89;59.55;2
39.34;50.76;2
75.71;19.89;2
44.55;55.64;2
70.17;87.09;2
100.28;52.6;2
99.03;17.96;2
41.33;7.84;2
35.86;58.48;2
67.37;85.91;2
23.11;79.9;2
13.92;48.58;2
82.86;78.94;2
94.3;54.45;2
71.7;14.15;2
95.77;56.95;2
25.31;62.04;2
83.38;11.74;2
102.23;52.1;2
0.25;85.16;2
37.14;48.93;2
11.48;58.03;2
93.11;54.34;2
78.68;16.49;2
55.29;26.48;2
19.88;77.97;2
45.07;18.17;2
30.6;12.9;2
72.3;18.11;2
31.67;57.27;2
72.24;32.26;2
60.54;47.77;2
32.38;11.23;2
40.54;55.39;2
100.88;58.57;2
90.75;72.32;2
12.48;69.96;2
53.29;82.89;2
45.97;15.83;2
14.65;68.51;2
52.3;16.18;2
71.11;11.43;2
95.28;60.24;2
79.85;61.28;2
65.78;77.21;2
21.88;51.5;2
6.19;86.81;2
79.92;29.95;2
96.54;52.64;2
103.04;61;2
52.03;44.3;2
70.88;13.6;2
17.65;74.58;2
51.86;76.27;2
26.07;44.82;2
59.53;80.39;2
43.68;0.4;2
80.99;68.09;2
85;12.04;2
102.29;49.8;2
88.66;63.98;2
76.32;63.15;2
15.15;81.19;2
89.96;65.85;2
83.25;12.71;2
6.57;61.81;2
70.38;24.47;2
55.74;16.62;2
98.63;45.65;2
29.12;50.53;2
52.05;36.64;2
31.36;56.86;2
75.95;85.92;2
83.54;78.86;2
78.39;75.14;2
61.73;51.33;2
10.36;69.78;2
68.07;7.93;2
31;12.34;2
53.35;24.34;2
60.76;81.11;2
11.06;85.21;2
99.47;22.22;2
49.48;19.46;2
7.72;78.53;2
48.99;39.13;2
71.47;85.49;2
63.46;78.47;2
24.09;77.51;2
40.61;20.81;2
53.2;35.56;2
76.87;20.83;2
31.42;14.49;2
42.13;13.7;2
42.57;23.39;2
87.06;85.96;2
84.24;79.65;2
77.16;77.88;2
70.29;74.51;2
69.03;83.39;2
96.06;64.79;2
12.14;31.98;2
96.17;56.28;2
49.01;18.61;2
46.14;63.49;2
6.31;29.05;2
80.83;50.97;2
67.17;82.66;2
12.52;71.56;2
66.66;28.38;2
24.74;35.66;2
96.61;27.23;2
64.51;12.15;2
44.29;14.09;2
74.46;22.08;2
67.62;9.97;2
101.02;27.15;2
86.21;73.79;2
79.33;69.15;2
70.4;86.5;2
44.84;52.82;2
39.12;17.96;2
35.36;50.2;2
21.77;47.61;2
46.04;21.26;2
70.32;12.64;2
99.56;47.39;2
47.84;16.25;2
100.38;60.92;2
96.29;58.82;2
81.95;68.39;2
75.45;81.85;2
19.56;38.46;2
5.62;85.74;2
2.55;33.08;2
42.17;55.42;2
82.61;80.36;2
82.6;73.22;2
40.82;0.93;2
5.37;59.42;2
44.6;1.61;2
56.73;87.03;2
46.13;73.53;2
101.93;45.14;2
14.69;73.2;2
79.52;71.75;2
56.88;49.99;2
94.8;64.92;2
32.64;14.2;2
72.89;14.93;2
69.43;14.09;2
19.3;81.95;2
79.32;63.75;2
33.46;51.35;2
91.35;49.32;2
95.44;49.18;2
92.8;54.91;2
89.08;54.35;2
79.44;85.37;2
68.03;80.06;2
25.07;51.3;2
11.57;79.56;2
6.7;83.04;2
77.03;80.09;2
74.57;15.47;2
58.86;38.03;2
28.82;34.92;2
45.9;2;2
50.86;52.33;2
100.65;48.76;2
99.24;57.07;2
88.54;85.86;2
86.76;77.41;2
76.54;80.52;2
73.99;76;2
73.28;26.97;2
72.81;77.83;2
3.44;78.4;2
99.86;51.42;2
26.25;39.6;2
68.32;7.07;2
42.56;54.19;2
70.6;18.23;2
102.42;57.72;2
97.75;18.15;2
75.61;15.87;2
68.27;8.94;2
41.94;51.91;2
73.72;23.49;2
98.61;57.23;2
93.83;73.46;2
64.84;76.86;2
62.68;2.43;2
60.96;82.32;2
58.57;77.62;2
16.02;43.88;2
8.62;72.97;2
6.95;59.75;2
6.18;76.28;2
3.46;77;2
73.82;23.54;2
26.59;73.6;2
13.26;67.89;2
82.2;74.09;2
58.43;15.59;2
