"x";"y";"mark"
69.85;43.86;99
10.24;60.08;98.4
50.42;25.54;93
40.15;1.03;89.5
40.67;15.71;89.1
54.21;0.38;88.8
41.82;46.34;87.2
59.8;27.95;86.6
75.67;69.23;84.6
48.59;14.07;82.8
43.05;5.57;82.4
34.82;33.92;79.6
35.37;25.37;78.6
53.38;13.37;78.3
100.09;73.44;77.7
27.06;50.5;77.7
78.21;22.25;77.7
63.68;47.53;77.3
35.49;44.9;77.3
36.04;16.98;77.3
42.53;51.65;76.7
61.3;15.72;76.7
57.87;72.03;76.4
8.61;29.6;76.2
27.79;27.63;75.8
28;19.54;74.8
81.71;5.06;74.4
58.12;35.38;72.9
10.59;40.86;72.6
70.93;20.77;72.3
64.7;31.1;71.9
58.04;23.78;71.9
96.64;85.34;71.6
39.69;38.45;71.5
5.78;33.91;71.3
25.97;10.51;69.9
43.43;10.65;69.7
20.95;28.13;68.9
16.24;34.64;68.9
76.13;17.16;68.8
17.8;67.83;68.4
70.67;3.45;67.5
14.34;24.21;66.7
14.59;13.31;66.3
14.52;65.21;66.2
74.18;78.19;66.2
99.45;35.27;65.9
71.1;29;65.9
10.73;23.92;65.9
69.06;27.63;64.8
1.6;41.84;64.3
84.47;60.61;63.7
82.62;53.87;63.7
17.72;47.65;63.5
5.92;8.18;63.5
32.53;5.18;63.5
65.72;26.15;63.5
47.44;69.16;63.3
20.41;74.81;63.3
6.75;47.21;62.7
81.89;34.46;62.5
88.4;3.1;62.2
49.58;11.66;62.2
11.46;52.54;61.7
74.29;11.61;61.7
82.44;19.64;61.5
47.84;82.74;59.7
17.69;54.64;59.7
48.79;63.57;59.7
68.48;77.14;59.7
55.48;37.75;59.7
55.49;47.71;59.4
25.72;67.36;58.9
2.75;74.97;58.4
88.26;44.65;58.4
8.35;79.49;58.4
45.4;86.06;58.4
85.94;73.04;58.4
71.21;58.18;58.4
70;46.06;58.4
51.49;52.17;58.4
38.62;74.05;57.9
91.35;11.6;57.9
68.63;57.19;57.9
80.15;58.36;57.9
55;59.05;57.7
68.47;13.61;57.7
46.1;27.9;57.7
85.24;59.02;57.2
43.14;78.34;57.2
31.12;75.97;57.2
29.03;68.32;57.2
71.44;81.29;57.2
26.88;38.62;57.2
65.88;47.34;56.9
88.66;5.66;56.4
22.53;34.31;56.1
52.95;87.18;55.9
95.26;26.07;55.9
19.12;79.9;55.9
103.33;58.42;55.9
85.23;64.97;55.9
102.88;83.5;55.9
20.87;38.01;55.9
14.94;1.82;55.6
96.44;10.63;55.1
50.53;34.93;54.9
92.18;43.03;54.6
59.57;85.29;54.6
32;64.51;54.6
21.09;8.01;54.6
9.24;36.48;54.4
96.57;21.49;54.1
1.44;22.09;54.1
38.43;67.67;53.9
51.33;40.19;53.9
8.65;74.08;53.8
79.52;24.98;53.8
14.14;51.34;53.8
34.55;22.59;53.8
35.57;8.16;53.8
89.07;44.58;53.3
103.66;50.68;53.3
98.34;47.51;53.3
29.32;57.09;53.3
12.37;5.95;52.9
83.85;64.28;52.8
90.48;60.81;52.8
86.4;62.8;52.8
80.15;73.54;52.7
95.47;40.29;52.7
44.49;75.23;52.7
92.47;51.29;52.7
97;59.69;52.7
74.16;73.94;52.7
41.43;66.41;52.7
0.82;60.21;52.7
58.18;59.93;52.7
58.25;53.87;52.7
6.42;3.11;52.7
3.63;69.65;52.6
58.05;5.05;52.6
17.43;5.52;52.4
89.7;13.78;52.3
44.34;41.12;52.3
5.46;36.53;52.3
91.41;11.86;52.3
