"x";"y";"mark"
69.853;43.856;1
10.238;60.079;1
50.421;25.542;1
40.147;1.026;1
40.674;15.708;1
54.214;0.382;1
41.815;46.335;1
59.795;27.953;1
75.674;69.228;1
48.586;14.072;1
43.053;5.566;1
34.822;33.915;1
35.371;25.374;1
53.382;13.372;1
100.091;73.438;1
27.058;50.496;1
78.209;22.251;1
63.683;47.533;1
35.492;44.898;1
36.035;16.98;1
42.528;51.653;1
61.299;15.722;1
57.869;72.031;1
8.612;29.604;1
27.785;27.626;1
27.996;19.542;1
81.705;5.057;1
58.115;35.384;1
10.587;40.863;1
70.932;20.766;1
64.695;31.1;1
58.039;23.779;1
96.641;85.335;1
39.687;38.453;1
5.781;33.913;1
25.969;10.506;1
43.426;10.652;1
20.948;28.134;1
16.243;34.64;1
76.127;17.163;1
17.795;67.828;1
70.67;3.452;1
14.337;24.211;1
14.585;13.314;1
14.52;65.207;1
74.177;78.188;1
99.454;35.272;1
71.096;28.998;1
10.733;23.922;1
69.055;27.631;1
1.596;41.84;1
84.468;60.608;1
82.624;53.868;1
17.724;47.649;1
5.919;8.181;1
32.531;5.179;1
65.723;26.151;1
47.436;69.155;1
20.409;74.81;1
6.754;47.208;1
81.887;34.464;1
88.403;3.102;1
49.576;11.657;1
11.459;52.54;1
74.292;11.605;1
82.443;19.644;1
47.843;82.735;1
17.691;54.636;1
48.79;63.567;1
68.481;77.137;1
55.481;37.747;1
55.49;47.712;1
25.719;67.356;1
2.749;74.969;1
88.263;44.65;1
8.354;79.487;1
45.395;86.06;1
85.944;73.04;1
71.208;58.183;1
69.996;46.055;1
51.488;52.172;1
38.619;74.048;1
91.349;11.598;1
68.63;57.185;1
80.154;58.36;1
55;59.048;1
68.47;13.613;1
46.104;27.9;1
85.241;59.021;1
43.141;78.335;1
31.123;75.969;1
29.031;68.321;1
71.438;81.285;1
26.877;38.615;1
65.882;47.339;1
88.663;5.661;1
22.534;34.314;1
52.946;87.179;1
95.26;26.068;1
19.115;79.895;1
103.332;58.42;1
85.228;64.968;1
102.875;83.504;1
20.872;38.009;1
14.937;1.817;1
96.443;10.631;1
50.529;34.926;1
92.184;43.029;1
59.566;85.293;1
31.999;64.51;1
21.094;8.013;1
9.244;36.477;1
96.57;21.489;1
1.444;22.086;1
38.429;67.667;1
51.33;40.192;1
8.647;74.082;1
79.522;24.979;1
14.141;51.343;1
34.552;22.588;1
35.57;8.161;1
89.065;44.575;1
103.655;50.683;1
98.342;47.508;1
29.322;57.089;1
63.352;63.533;1
12.367;5.952;1
83.853;64.283;1
90.478;60.808;1
86.396;62.797;1
80.151;73.544;1
95.466;40.294;1
44.485;75.231;1
92.472;51.287;1
97;59.687;1
74.155;73.943;1
41.43;66.41;1
0.819;60.205;1
58.179;59.926;1
58.245;53.865;1
6.422;3.112;1
3.631;69.65;1
58.05;5.051;1
17.43;5.52;1
89.696;13.78;1
44.339;41.122;1
5.461;36.527;1
91.407;11.855;1
2.52;79.293;1
5.043;74.141;1
24.218;85.219;1
86.998;25.35;1
92.798;8.066;1
49.728;70.6;1
50.342;47.648;1
18.702;18.783;1
68.387;63.351;1
98.441;25.551;1
26.588;62.167;1
35.087;75.918;1
53.057;60.791;1
10.935;4.319;1
2.058;56.917;1
15.046;87.515;1
88.116;13.707;1
83.965;85.706;1
92.514;19.317;1
68.366;75.202;1
95.467;68.545;1
2.785;7.893;1
62.372;5.408;1
6.496;16.164;1
6.064;70.988;1
23.498;56.58;1
31.525;86.987;1
82.619;45.333;1
13.417;81.485;1
88.68;35.758;1
99.423;6.115;1
55.423;86.409;1
92.769;45.283;1
4.069;63.475;1
101.502;14.149;1
72.61;2.151;1
100.579;14.415;1
96.678;57.093;1
54.375;33.357;1
14.816;80.021;1
53.784;45.76;1
32.163;30.55;1
52.062;77.909;1
81.022;48.825;1
75.653;47.503;1
16.23;53.899;1
93.656;23.164;1
25.52;40.451;1
83.713;22.644;1
28.153;82.031;1
90.571;79.704;1
62.32;83.705;1
99.448;76.577;1
93.13;24.561;1
88.96;81.629;1
51.823;43.272;1
55.967;67.108;1
54.5;64.606;1
23.986;45.818;1
94.733;13.724;1
25.248;77.232;1
49.685;41.127;1
17.103;86.834;1
17.283;81.724;1
38.767;62.592;1
57.709;25.725;1
64.009;82.004;1
10.23;41.722;1
53.311;71.582;1
5.527;54.505;1
78.904;46.332;1
93.35;0.31;1
34.493;40.86;1
16.984;69.352;1
9.415;55.871;1
92.376;27.729;1
3.645;26.132;1
30.963;40.082;1
66.439;8.652;1
53.927;74.79;1
40.49;69.701;1
57.194;43.837;1
89.359;25.581;1
102.545;18.44;1
97.21;2.674;1
100.321;78.889;1
63.968;52.849;1
102.964;10.245;1
10.533;49.671;1
101.337;42.814;1
95.535;5.606;1
99.398;53.591;1
92.096;70.561;1
48.818;56.332;1
100.2;41.475;1
58.37;78.477;1
78.562;81.515;1
5.944;22.982;1
81.332;36.683;1
89.584;19.866;1
34.17;72.959;1
19.567;62.401;1
101.418;80.707;1
42.579;58.154;1
34.521;64.053;1
98.96;41.801;1
58.396;78.467;1
56.18;76.535;1
53.524;80.152;1
73.325;51.998;1
98.286;40.104;1
32.086;48.922;1
25.693;47.236;1
99.975;12.184;1
12.094;78.444;1
99.908;36.155;1
1.792;26.448;1
37.008;78.481;1
21.801;77.644;1
76.008;44.703;1
64.882;35.765;1
55.426;53.003;1
84.366;16.163;1
7.367;65.007;1
15.499;64.68;1
96.191;23.174;1
31.028;57.652;1
28.863;84.97;1
90.374;25.695;1
100.622;22.241;1
100.796;46.335;1
23.183;39.969;1
93.668;39.874;1
44.542;78.633;1
0.44;73.639;1
100.086;69.345;1
53.594;73.962;1
44.869;80.212;1
77.095;50.329;1
13.925;30.02;1
99.254;29.964;1
60.971;77.019;1
17.01;69.316;1
94.837;46.545;1
68.638;22.312;1
69.831;1.151;1
45.204;49.416;1
77.599;6.885;1
50.892;81.348;1
36.999;56.963;1
37.943;41.351;1
20.204;14.518;1
88.344;79.997;1
37.471;64.647;1
71.886;69.022;1
28.837;23.358;1
92.07;4.687;1
99.961;65.232;1
94.209;76.478;1
90.201;62.466;1
64.41;39.067;1
15.127;72.26;1
33.377;83.269;1
13.368;74.623;1
3.187;44.727;1
70.808;20.592;1
85.228;75.355;1
33.062;68.796;1
62.048;11.639;1
98.085;45.254;1
28.178;66.108;1
64.589;78.227;1
59.779;60.091;1
69.602;67.055;1
102.877;80.989;1
48.53;58.537;1
79.866;35.668;1
44.736;82.973;1
42.889;72.521;1
94.026;19.175;1
54.979;57.361;1
0.031;17.717;1
79.576;79.932;1
65.013;82.62;1
9.947;66.481;1
26.187;63.41;1
92.277;64.395;1
13.743;24.576;1
6.887;2.706;2
73.643;29.192;2
80.155;12.354;2
86.19;17.113;2
31.201;5.231;2
8.796;54.932;2
13.394;32.257;2
22.687;55.996;2
87.675;76.062;2
55.489;23.274;2
37.799;36.9;2
22.557;14.522;2
30.919;72.325;2
99.058;0.846;2
34.572;30.859;2
3.107;12.09;2
38.748;72.833;2
52.145;18.494;2
14.136;48.068;2
82.162;58.619;2
43.862;43.715;2
43.272;68.767;2
85.621;85.653;2
84.58;56.296;2
35.726;80.727;2
50.341;58.47;2
39.227;33.917;2
97.651;69.511;2
59.312;38.117;2
35.442;68.1;2
39.773;42.502;2
47.41;81.848;2
61.49;73.508;2
55.536;76.138;2
22.538;62.014;2
51.467;85.026;2
102.292;53.07;2
32.065;58.959;2
67.625;52.515;2
4.642;50.098;2
95.308;41.648;2
18.38;54.42;2
24.002;67.479;2
88.991;10.836;2
21.396;71.01;2
14.344;83.17;2
23.255;48.032;2
102.568;44.318;2
63.744;49.366;2
86.348;26.266;2
16.961;80.595;2
47.23;82.631;2
99.791;20.664;2
5.45;66.261;2
30.359;16.197;2
0.638;33.601;2
91.422;24.456;2
88.503;68.711;2
80.697;5.836;2
7.238;46.532;2
7.574;2.102;2
93.985;45.905;2
86.304;52.143;2
67.921;31.078;2
34.09;17.132;2
30.157;8.224;2
25.88;84.384;2
47.318;83.326;2
103.397;53.98;2
97.315;37.711;2
96.634;78.61;2
94.036;28.563;2
92.556;65.25;2
85.637;17.21;2
83.253;72.014;2
82.552;1.845;2
78.684;3.713;2
72.139;76.081;2
71.136;25.758;2
70.687;26.004;2
69.855;49.049;2
66.66;29.096;2
64.213;72;2
63.438;26.18;2
63.071;43.86;2
63.058;22.878;2
61.776;79.425;2
61.219;75.077;2
59.318;83.946;2
58.984;69.736;2
57.59;52.446;2
55.607;13.191;2
55.341;61.434;2
53.057;22.722;2
49.925;77.22;2
45.322;24.31;2
42.94;78.658;2
41.576;35.343;2
39.265;37.541;2
37.576;67.227;2
34.148;20.84;2
32.78;44.607;2
29.846;41.558;2
25.426;46.257;2
19.647;67.864;2
18.955;28.568;2
16.137;15.498;2
14.094;58.122;2
7.236;84.02;2
6.795;41.832;2
2.887;46.104;2
77.036;53.471;2
63.193;65.338;2
103.972;45.855;2
103.759;49.116;2
103.704;47.666;2
103.285;73.624;2
102.702;1.929;2
102.674;29.353;2
102.146;5.892;2
101.86;51.634;2
101.309;30.63;2
101.17;49.197;2
101.074;59.464;2
100.375;55.287;2
100.354;46.967;2
100.188;53.404;2
100.088;58.407;2
99.825;37.076;2
98.969;2.127;2
98.963;55.997;2
98.896;50.09;2
98.807;30.495;2
98.595;16.943;2
98.328;8.941;2
96.525;79.648;2
96.322;49.4;2
96.234;50.939;2
95.899;12.213;2
95.109;66.421;2
95.049;49.982;2
94.885;2.001;2
94.38;60.221;2
93.908;50.168;2
93.766;13.772;2
93.54;46.726;2
92.692;57.422;2
92.673;61.498;2
90.935;79.189;2
90.265;66.778;2
90.108;17.142;2
90.059;47.129;2
89.637;70.952;2
89.437;67.3;2
88.959;76.312;2
88.135;51.008;2
87.825;6.15;2
87.785;20.369;2
87.721;50.814;2
87.706;77.338;2
87.568;62.921;2
86.919;31.376;2
86.391;36.09;2
85.309;64.069;2
84.924;7.29;2
84.845;11.381;2
84.244;83.097;2
84.236;72.46;2
83.94;45.716;2
83.505;75.157;2
83.404;10.63;2
83.27;35.504;2
82.636;23.82;2
82.435;76.784;2
82.217;67.705;2
82.078;21.781;2
80.599;65.779;2
80.571;3.429;2
79.92;67.969;2
79.629;77.582;2
79.496;30.049;2
79.329;74.769;2
79.299;17.08;2
79.215;72.306;2
79.174;18.599;2
78.608;78.524;2
78.58;14.634;2
78.339;20.098;2
78.227;16.318;2
77.574;73.297;2
77.098;81.394;2
75.813;70.545;2
75.803;44.03;2
75.527;44.525;2
74.804;81.594;2
74.619;66.33;2
74.565;23.445;2
74.321;75.428;2
72.317;31.348;2
71.349;58.641;2
71.328;15.879;2
71.062;71.361;2
70.411;7.224;2
70.004;69.691;2
68.92;78.895;2
68.148;71.757;2
67.985;11.593;2
67.59;85.736;2
67.402;45.552;2
67.034;71.994;2
66.631;68.37;2
66.556;71.836;2
66.335;10.071;2
65.597;54.801;2
64.932;69.544;2
63.853;57.691;2
63.013;19.85;2
62.544;51.499;2
62.079;74.606;2
60.733;52.458;2
60.728;52.632;2
60.54;0.974;2
60.168;47.318;2
59.916;56.474;2
59.183;19.788;2
59.009;45.65;2
58.677;30.796;2
58.536;55.407;2
57.601;58.402;2
57.287;79.731;2
56.995;53.958;2
56.304;18.395;2
55.799;81.328;2
55.598;80.174;2
54.059;68.038;2
53.241;7.748;2
52.904;15.506;2
52.65;74.533;2
52.378;23.715;2
51.925;65.031;2
51.772;27.479;2
50.941;3.174;2
48.807;74.96;2
48.803;55.524;2
48.098;54.01;2
47.744;39.422;2
47.725;36.004;2
46.649;52.416;2
46.535;30.092;2
46.231;30.11;2
45.608;73.616;2
44.651;62.762;2
44.344;62.528;2
44.024;83.349;2
43.743;36.451;2
42.925;27.119;2
42.584;74.634;2
42.535;19.765;2
42.38;0.013;2
41.387;31.16;2
40.95;77.658;2
40.92;57.887;2
40.912;50.386;2
40.817;86.234;2
40.511;29.234;2
40.496;24.533;2
38.487;49.925;2
38.344;47.524;2
38.302;71.794;2
38.1;22.702;2
37.846;62.891;2
37.378;25.138;2
36.539;49.924;2
34.298;60.41;2
33.138;59.735;2
32.841;38.619;2
32.529;38.881;2
31.54;51.379;2
30.939;43.476;2
29.719;38.364;2
29.377;51.897;2
28.906;79.127;2
27.013;56.204;2
25.703;3.778;2
25.702;0.487;2
24.67;31.251;2
24.492;61.489;2
24.345;75.828;2
24.341;35.185;2
23.791;72.161;2
23.048;75.534;2
21.749;37.612;2
21.741;76.138;2
21.304;52.232;2
20.66;25.04;2
19.819;47.304;2
19.457;81.42;2
17.901;12.367;2
17.657;40.742;2
17.496;11.69;2
17.038;21.9;2
16.93;31.608;2
16.882;40.653;2
16.278;7.636;2
16.103;77.492;2
15.97;74.149;2
14.911;44.01;2
14.149;11.54;2
14.119;27.63;2
13.54;24.717;2
13.296;20.396;2
12.98;38.009;2
12.3;68.025;2
11.966;69.285;2
11.311;86.509;2
11.218;0.287;2
10.843;70.221;2
10.84;67.963;2
10.268;83.163;2
8.113;20.817;2
7.552;66.443;2
7.279;50.874;2
5.39;82.25;2
4.457;83.63;2
4.177;29.674;2
3.969;61.454;2
3.236;84.242;2
2.726;65.616;2
2.603;28.038;2
1.074;86.621;2
0.973;29.482;2
0.82;87.726;2
