"x";"y";"mark"
61.79;-1.44;1
24.5;-1.39;1
56.19;-1.35;1
74.07;-1.32;1
70.16;-1.28;1
12.28;-0.99;1
43.99;-0.86;1
52.12;-0.81;1
58.01;-0.49;1
73.83;-0.39;1
46.84;0.52;1
41.3;0.88;1
79.07;0.96;1
8.35;1.12;1
72.16;1.25;1
67.13;1.27;1
77.06;1.53;1
18.69;2.27;1
59.94;2.43;1
58.16;2.56;1
66.13;2.56;1
44.18;2.67;1
49.35;2.7;1
49.97;2.87;1
54.98;3.02;1
79.24;3.78;1
71.24;3.84;1
76.52;3.84;1
70.4;3.9;1
38.68;3.95;1
43.26;4.2;1
64.85;4.31;1
78.45;4.33;1
29.99;4.59;1
54.53;4.93;1
14.21;4.98;1
42.56;5.16;1
48.13;5.2;1
37.95;5.73;1
49.06;6.14;1
66.69;6.78;1
40.63;7.52;1
47.04;7.61;1
35.52;7.85;1
53.09;7.9;1
34.95;8.85;1
43.23;8.87;1
31.45;8.9;1
60.69;9.4;1
24.2;9.47;1
33.91;9.93;1
67.49;9.97;1
52.09;10.11;1
35.09;10.21;1
37.27;10.5;1
49.86;10.65;1
79.53;10.81;1
51.05;11.04;1
66.08;11.35;1
42.33;11.65;1
57.78;11.77;1
56.49;12.06;1
46.86;12.2;1
66.12;12.21;1
80.02;12.36;1
50.97;12.47;1
59.21;12.77;1
68.09;12.91;1
60.39;12.95;1
74.92;13.13;1
47.73;13.46;1
40.24;13.67;1
44.99;13.83;1
34.16;14.05;1
26.56;14.21;1
59.24;14.38;1
55.35;14.41;1
51.03;14.75;1
54.84;14.97;1
42.58;15.71;1
31.67;16.41;1
62.62;16.57;1
59.63;16.63;1
49.37;16.66;1
29.36;16.88;1
70.75;17.61;1
68.89;17.85;1
69.58;18.02;1
22.47;18.04;1
58.82;18.04;1
50.32;18.06;1
46.44;18.39;1
52.16;18.56;1
49.93;18.88;1
46.19;18.96;1
48.53;19.15;1
60.68;19.23;1
46.58;19.48;1
51.71;19.83;1
72.95;20;1
44.25;20.4;1
47.23;21.07;1
70.83;21.08;1
71.14;21.26;1
49.95;21.42;1
55.4;21.83;1
60.63;22.13;1
50.39;22.35;1
37.29;23.33;1
52.34;23.44;1
50.74;23.54;1
74.81;23.72;1
71.03;23.79;1
33.04;23.87;1
64.54;24.15;1
72.51;24.4;1
75.54;24.54;1
77.49;25.03;1
69.97;25.97;1
60.3;26.39;1
31.41;26.73;1
49.61;26.79;1
66.06;27.15;1
61.42;27.4;1
77.01;28.31;1
52.64;28.46;1
66.97;29.52;1
79.36;29.76;1
64.62;30.83;1
